laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros
1,Apple,Macbook Pro,Ultrabook,13.3,Ips Panel Retina Display 2560X1600,Intel Core I5 2.3Ghz,8Gb,128Gb Ssd,Intel Iris Plus Graphics 640,Macos,1.37Kg,1339.69
2,Apple,Macbook Air,Ultrabook,13.3,1440X900,Intel Core I5 1.8Ghz,8Gb,128Gb Flash Storage,Intel Hd Graphics 6000,Macos,1.34Kg,898.94
3,Hp,250 G6,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 7200U 2.5Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,No Os,1.86Kg,575.0
4,Apple,Macbook Pro,Ultrabook,15.4,Ips Panel Retina Display 2880X1800,Intel Core I7 2.7Ghz,16Gb,512Gb Ssd,Amd Radeon Pro 455,Macos,1.83Kg,2537.45
5,Apple,Macbook Pro,Ultrabook,13.3,Ips Panel Retina Display 2560X1600,Intel Core I5 3.1Ghz,8Gb,256Gb Ssd,Intel Iris Plus Graphics 650,Macos,1.37Kg,1803.6
6,Acer,Aspire 3,Notebook,15.6,1366X768,Amd A9-Series 9420 3Ghz,4Gb,500Gb Hdd,Amd Radeon R5,Windows 10,2.1Kg,400.0
7,Apple,Macbook Pro,Ultrabook,15.4,Ips Panel Retina Display 2880X1800,Intel Core I7 2.2Ghz,16Gb,256Gb Flash Storage,Intel Iris Pro Graphics,Mac Os X,2.04Kg,2139.97
8,Apple,Macbook Air,Ultrabook,13.3,1440X900,Intel Core I5 1.8Ghz,8Gb,256Gb Flash Storage,Intel Hd Graphics 6000,Macos,1.34Kg,1158.7
9,Asus,Zenbook Ux430Un,Ultrabook,14.0,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,16Gb,512Gb Ssd,Nvidia Geforce Mx150,Windows 10,1.3Kg,1495.0
10,Acer,Swift 3,Ultrabook,14.0,Ips Panel Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.6Kg,770.0
11,Hp,250 G6,Notebook,15.6,1366X768,Intel Core I5 7200U 2.5Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 620,No Os,1.86Kg,393.9
12,Hp,250 G6,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,500Gb Hdd,Intel Hd Graphics 520,No Os,1.86Kg,344.99
13,Apple,Macbook Pro,Ultrabook,15.4,Ips Panel Retina Display 2880X1800,Intel Core I7 2.8Ghz,16Gb,256Gb Ssd,Amd Radeon Pro 555,Macos,1.83Kg,2439.97
14,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 6006U 2Ghz,4Gb,256Gb Ssd,Amd Radeon R5 M430,Windows 10,2.2Kg,498.9
15,Apple,"Macbook 12""",Ultrabook,12.0,Ips Panel Retina Display 2304X1440,Intel Core M M3 1.2Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 615,Macos,0.92Kg,1262.4
16,Apple,Macbook Pro,Ultrabook,13.3,Ips Panel Retina Display 2560X1600,Intel Core I5 2.3Ghz,8Gb,256Gb Ssd,Intel Iris Plus Graphics 640,Macos,1.37Kg,1518.55
17,Dell,Inspiron 3567,Notebook,15.6,Full Hd 1920X1080,Intel Core I7 7500U 2.7Ghz,8Gb,256Gb Ssd,Amd Radeon R5 M430,Windows 10,2.2Kg,745.0
18,Apple,Macbook Pro,Ultrabook,15.4,Ips Panel Retina Display 2880X1800,Intel Core I7 2.9Ghz,16Gb,512Gb Ssd,Amd Radeon Pro 560,Macos,1.83Kg,2858.0
19,Lenovo,Ideapad 320-15Ikb,Notebook,15.6,Full Hd 1920X1080,Intel Core I3 7100U 2.4Ghz,8Gb,1Tb Hdd,Nvidia Geforce 940Mx,No Os,2.2Kg,499.0
20,Dell,Xps 13,Ultrabook,13.3,Ips Panel Full Hd / Touchscreen 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,128Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.22Kg,979.0
21,Asus,Vivobook E200Ha,Netbook,11.6,1366X768,Intel Atom X5-Z8350 1.44Ghz,2Gb,32Gb Flash Storage,Intel Hd Graphics 400,Windows 10,0.98Kg,191.9
22,Lenovo,Legion Y520-15Ikbn,Gaming,15.6,Ips Panel Full Hd 1920X1080,Intel Core I5 7300Hq 2.5Ghz,8Gb,128Gb Ssd +  1Tb Hdd,Nvidia Geforce Gtx 1050,Windows 10,2.5Kg,999.0
23,Hp,255 G6,Notebook,15.6,1366X768,Amd E-Series E2-9000E 1.5Ghz,4Gb,500Gb Hdd,Amd Radeon R2,No Os,1.86Kg,258.0
24,Dell,Inspiron 5379,2 In 1 Convertible,13.3,Full Hd / Touchscreen 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.62Kg,819.0
25,Hp,15-Bs101Nv (I7-8550U/8Gb/256Gb/Fhd/W10),Ultrabook,15.6,Full Hd 1920X1080,Intel Core I7 8550U 1.8Ghz,8Gb,256Gb Ssd,Intel Hd Graphics 620,Windows 10,1.91Kg,659.0
26,Dell,Inspiron 3567,Notebook,15.6,1366X768,Intel Core I3 6006U 2Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 520,Windows 10,2.3Kg,418.64
27,Apple,Macbook Air,Ultrabook,13.3,1440X900,Intel Core I5 1.6Ghz,8Gb,128Gb Flash Storage,Intel Hd Graphics 6000,Mac Os X,1.35Kg,1099.0
28,Dell,Inspiron 5570,Notebook,15.6,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,256Gb Ssd,Amd Radeon 530,Windows 10,2.2Kg,800.0
29,Dell,Latitude 5590,Ultrabook,15.6,Full Hd 1920X1080,Intel Core I7 8650U 1.9Ghz,8Gb,256Gb Ssd +  256Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.88Kg,1298.0
30,Hp,Probook 470,Notebook,17.3,Full Hd 1920X1080,Intel Core I5 8250U 1.6Ghz,8Gb,1Tb Hdd,Nvidia Geforce 930Mx,Windows 10,2.5Kg,896.0
31,Chuwi,"Lapbook 15.6""",Notebook,15.6,Full Hd 1920X1080,Intel Atom X5-Z8300 1.44Ghz,4Gb,64Gb Flash Storage,Intel Hd Graphics,Windows 10,1.89Kg,244.99
32,Asus,E402Wa-Ga010T (E2-6110/2Gb/32Gb/W10),Notebook,14.0,1366X768,Amd E-Series E2-6110 1.5Ghz,2Gb,32Gb Flash Storage,Amd Radeon R2,Windows 10,1.65Kg,199.0
33,Hp,17-Ak001Nv (A6-9220/4Gb/500Gb/Radeon,Notebook,17.3,Full Hd 1920X1080,Amd A6-Series 9220 2.5Ghz,4Gb,500Gb Hdd,Amd Radeon 530,Windows 10,2.71Kg,439.0
34,Dell,Xps 13,Ultrabook,13.3,Touchscreen / Quad Hd+ 3200X1800,Intel Core I7 8550U 1.8Ghz,16Gb,512Gb Ssd,Intel Uhd Graphics 620,Windows 10,1.2Kg,1869.0
35,Apple,Macbook Air,Ultrabook,13.3,1440X900,Intel Core I5 1.6Ghz,8Gb,256Gb Flash Storage,Intel Hd Graphics 6000,Mac Os X,1.35Kg,998.0
36,Lenovo,Ideapad 120S-14Iap,Notebook,14.0,1366X768,Intel Celeron Dual Core N3350 1.1Ghz,4Gb,64Gb Flash Storage,Intel Hd Graphics 500,Windows 10,1.44Kg,249.0
37,Acer,Aspire 3,Notebook,15.6,1366X768,Intel Core I3 7130U 2.7Ghz,4Gb,1Tb Hdd,Intel Hd Graphics 620,Linux,2.1Kg,367.0
